,V16-D2 SV Fence,V16-D2 SV MEM Fence,V16-D2 Prop1,V16-D2 PROP,V16-D2 BASE
axpy,1.019917260052212,1.0199109959473966,1.0199109959473966,1.0199109959473966,1.0
blackscholes,0.9892780910836225,0.9904151818881646,0.9976509089821578,0.9971531748505772,1.0
canneal,0.826954249230871,0.8725653479071717,0.9505252751311829,0.9505149487224057,1.0
jacobi-2d,0.9321113265204128,0.9826757215256139,0.9965748306774246,0.9965748306774246,1.0
particlefilter,0.9973044619175371,0.9975997780664358,0.9996581050596384,0.9996161468140403,1.0
pathfinder,0.8723971336419212,0.7342199860301091,1.0,1.0,1.0
streamcluster,0.8233707017788172,0.9073940559372703,0.9093208681434862,0.9092242457073275,1.0
swaptions,0.9599439396333991,0.9775785185580697,0.9874838426916422,0.9875232932243618,1.0
spmv,0.9660214989717235,0.9935753274688119,0.9935873235555353,0.9935873235555353,1.0
fftw3,0.9267891798309368,0.9543754298270628,0.968431316289859,0.9684266067538126,1.0
GeoMean,0.9314087842661453,0.9430310343156109,0.9823143466478325,0.9822531566252882,1.0
